Date,Open,High,Low,Close,Volume
2026-08-04 01:48:00,29053.5,29053.75,29048,29051.75,0
2026-08-04 01:49:00,29052,29053,29049.5,29050.25,0
2026-08-04 01:50:00,29049.25,29049.25,29042.5,29046,0
2026-08-04 01:51:00,29046.75,29058.75,29045.5,29057,0
2026-08-04 01:52:00,29057.75,29063,29056.5,29062.25,0
2026-08-04 01:53:00,29061.5,29065,29060,29060.25,0
2026-08-04 01:54:00,29060.5,29061.25,29058.25,29058.5,0
2026-08-04 01:55:00,29058.5,29062.75,29054.25,29061.5,0
2026-08-04 01:56:00,29061.75,29065.75,29060,29061.25,0
2026-08-04 01:57:00,29061.25,29069,29059.5,29069,0
2026-08-04 01:58:00,29069.5,29073.5,29065.75,29070.75,0
2026-08-04 01:59:00,29071.5,29074.25,29071,29072.25,0
2026-08-04 02:00:00,29073.5,29081.75,29070.5,29071,0
2026-08-04 02:01:00,29070.25,29073.75,29067.25,29073.25,0
2026-08-04 02:02:00,29075,29079,29071,29075,0
2026-08-04 02:03:00,29075.25,29080.25,29072,29076,0
2026-08-04 02:04:00,29075.75,29080,29074,29076.75,0
2026-08-04 02:05:00,29075.5,29075.75,29069,29069.5,0
2026-08-04 02:06:00,29068.75,29082.75,29068.5,29079.25,0
2026-08-04 02:07:00,29079.75,29088,29075.5,29088,0
2026-08-04 02:08:00,29088,29089.25,29077.75,29081.25,0
2026-08-04 02:09:00,29081.5,29082.75,29078,29082.25,0
2026-08-04 02:10:00,29080.75,29086.25,29079.75,29085.5,0
2026-08-04 02:11:00,29084.75,29087,29083.75,29085.25,0
2026-08-04 02:12:00,29085.25,29090,29081.75,29089.5,0
2026-08-04 02:13:00,29088.5,29092.5,29086.5,29087.75,0
2026-08-04 02:14:00,29087,29089.25,29086,29089,0
2026-08-04 02:15:00,29089,29093.5,29087.5,29090.25,0
2026-08-04 02:16:00,29090.25,29091.25,29084.5,29084.5,0
2026-08-04 02:17:00,29085.25,29087,29082.25,29082.25,0
2026-08-04 02:18:00,29081.75,29085.25,29077.5,29078.5,0
2026-08-04 02:19:00,29079,29082.25,29076.5,29082.25,0
2026-08-04 02:20:00,29082.25,29085.25,29080.5,29084.25,0
2026-08-04 02:21:00,29085.25,29091,29079,29089.5,0
2026-08-04 02:22:00,29091,29093.75,29089.25,29089.25,0
2026-08-04 02:23:00,29090,29095.25,29084.75,29085,0
2026-08-04 02:24:00,29084,29086.25,29082,29086.25,0
2026-08-04 02:25:00,29085.5,29093.5,29085,29092,0
2026-08-04 02:26:00,29092.5,29098.75,29089.75,29091.75,0
2026-08-04 02:27:00,29091.75,29093.25,29089,29089,0
2026-08-04 02:28:00,29089.25,29091.75,29082.5,29082.5,0
2026-08-04 02:29:00,29083,29086.25,29079.75,29081.5,0
2026-08-04 02:30:00,29081.25,29081.25,29073,29075.75,0
2026-08-04 02:31:00,29075.25,29090,29074.25,29086.75,0
2026-08-04 02:32:00,29087.5,29088.25,29082.75,29083.5,0
2026-08-04 02:33:00,29083.75,29084.5,29079,29079,0
2026-08-04 02:34:00,29079.75,29079.75,29070,29071,0
2026-08-04 02:35:00,29071.5,29071.5,29061,29061,0
2026-08-04 02:36:00,29060.25,29062.25,29054.75,29057.25,0
2026-08-04 02:37:00,29058.25,29060,29055.25,29058.5,0
2026-08-04 02:38:00,29058,29058,29049.25,29056,0
2026-08-04 02:39:00,29056.75,29061.25,29056.75,29058.25,0
2026-08-04 02:40:00,29055.75,29060,29050,29050,0
2026-08-04 02:41:00,29049.5,29049.75,29047,29048,0
2026-08-04 02:42:00,29048,29048,29042.5,29045,0
2026-08-04 02:43:00,29045.75,29050.5,29045.25,29045.75,0
2026-08-04 02:44:00,29048,29055.5,29048,29054.75,0
2026-08-04 02:45:00,29055,29056.25,29051.75,29053.25,0
2026-08-04 02:46:00,29054.75,29062.5,29053.25,29061.5,0
2026-08-04 02:47:00,29061.5,29063.5,29054,29057.75,0
2026-08-04 02:48:00,29056.75,29059.75,29054,29055.25,0
2026-08-04 02:49:00,29056.5,29058,29055.5,29057.75,0
2026-08-04 02:50:00,29057.25,29062,29054.75,29060.75,0
2026-08-04 02:51:00,29060,29061,29058,29059.5,0
2026-08-04 02:52:00,29060,29060.75,29056.75,29056.75,0
2026-08-04 02:53:00,29057.75,29060.75,29057,29057,0
2026-08-04 02:54:00,29057.25,29064.25,29054,29062.5,0
2026-08-04 02:55:00,29062.5,29065.75,29060,29063.75,0
2026-08-04 02:56:00,29062.75,29064.25,29055.75,29055.75,0
2026-08-04 02:57:00,29056.5,29059.25,29053.25,29058.75,0
2026-08-04 02:58:00,29060,29060.5,29053,29055.5,0
2026-08-04 02:59:00,29055.25,29074,29055.25,29073.75,0
2026-08-04 03:00:00,29072,29080,29070.25,29076.5,0
2026-08-04 03:01:00,29076.5,29093.25,29075.5,29092.75,0
2026-08-04 03:02:00,29093.25,29100.25,29089.5,29096.75,0
2026-08-04 03:03:00,29096.25,29096.25,29083,29094.75,0
2026-08-04 03:04:00,29095,29100,29091,29094.75,0
2026-08-04 03:05:00,29094.75,29096.5,29083.5,29095.75,0
2026-08-04 03:06:00,29095.5,29095.5,29075.25,29075.5,0
2026-08-04 03:07:00,29075.25,29077.25,29063.5,29065.5,0
2026-08-04 03:08:00,29065.5,29067.25,29061,29061,0
2026-08-04 03:09:00,29060.5,29061.25,29053.75,29055,0
2026-08-04 03:10:00,29053.75,29063,29052,29054.75,0
2026-08-04 03:11:00,29055,29059.25,29050,29051.5,0
2026-08-04 03:12:00,29051.25,29051.75,29036.5,29050.75,0
2026-08-04 03:13:00,29051,29068.5,29047.75,29067,0
2026-08-04 03:14:00,29066.5,29070.5,29058,29069,0
2026-08-04 03:15:00,29069.75,29075.5,29062.25,29064.25,0
2026-08-04 03:16:00,29063.75,29087,29063.25,29084.5,0
2026-08-04 03:17:00,29086,29087,29081,29085.75,0
2026-08-04 03:18:00,29085.25,29085.25,29065,29069.5,0
2026-08-04 03:19:00,29070.75,29077.25,29069,29069,0
2026-08-04 03:20:00,29073,29080.5,29066.25,29080.5,0
2026-08-04 03:21:00,29081.5,29083.5,29076,29081.75,0
2026-08-04 03:22:00,29083.25,29084.25,29074.5,29076.25,0
2026-08-04 03:23:00,29078.5,29084.5,29078.5,29082.25,0
2026-08-04 03:24:00,29079.75,29091.75,29079.25,29091.75,0
2026-08-04 03:25:00,29091.5,29093.75,29089.5,29090.5,0
2026-08-04 03:26:00,29090.25,29107.25,29090.25,29103.25,0
